"","key","fscorea","fscoreb","fscorea_fscoreb","fscoreb_fscorea","away_win","home_win","teamaspread","overunder","teambspread","teama_vegas_fscore","teamb_vegas_fscore","scorea","scoreb","timeleft","teama","teamb","scorea_scoreb","date","scoreb_scorea","pct_complete","pct_left","cf1","cf2","teama_adj_fscore","teamb_adj_fscore","pfscoreb_pfscorea"
"31","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,9,8,44.5,"cha","tor",1,2016-04-05,-1,7.29166666666667,92.7083333333333,-0.518592032430506,-0.00682280256677568,100.0859375,102.794270833333,2.70833333333334
"32","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,29,37,30.4333333333,"cha","tor",-8,2016-04-05,8,36.5972222222917,63.4027777777083,5.01361880825295,0.089435542221303,91.2932291665984,101.829340277707,10.5361111111083
"33","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,88,93,0.566666666667,"cha","tor",-5,2016-04-05,5,98.8194444444438,1.18055555555624,20.9019904287435,9.70760414386299,89.159895833334,94.2071180555563,5.04722222222225
"34","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,9,14,42.0833333333,"cha","tor",-5,2016-04-05,5,12.3263888889583,87.6736111110417,2.66616639595762,0.0366818016625308,95.1393229165984,103.64626736104,8.50694444444167
"35","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,80,91,2.4,"cha","tor",-11,2016-04-05,11,95,5,24.0039679259592,3.32519292077902,84.9125,96.1125,11.2
"36","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,42,53,24.5833333333,"cha","tor",-11,2016-04-05,11,48.7847222222917,51.2152777777083,7.66664808870311,0.162290035726687,92.3190104165984,105.367621527707,13.0486111111083
"37","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,90,94,0.183333333333,"cha","tor",-4,2016-04-05,4,99.6180555555562,0.381944444443761,25.1588360813397,32.2094379295641,90.375260416666,94.3905381944437,4.01527777777775
"38","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,67,79,6.78333333333,"cha","tor",-12,2016-04-05,12,85.8680555555625,14.1319444444375,15.8213102504096,0.942886224751231,80.8846354166598,93.4499131944373,12.5652777777775
"39","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,72,85,4.51666666667,"cha","tor",-13,2016-04-05,13,90.5902777777708,9.40972222222916,20.9137078866895,1.73154497822628,81.2450520833402,94.6214409722293,13.3763888888892
"40","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,80,91,2.08333333333,"cha","tor",-11,2016-04-05,11,95.6597222222292,4.34027777777084,25.6710247723051,3.99358814779212,84.2643229166599,95.4379340277707,11.1736111111108
"41","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,85,91,1.25,"cha","tor",-6,2016-04-05,6,97.3958333333333,2.60416666666666,17.7574904520117,4.21503714097231,87.55859375,93.6627604166667,6.10416666666667
"42","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,40,49,25.9666666667,"cha","tor",-9,2016-04-05,9,45.9027777777083,54.0972222222917,6.10413089674136,0.123664588920439,93.1505208334016,104.314409722293,11.1638888888917
"43","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,15,18,38.5,"cha","tor",-3,2016-04-05,3,19.7916666666667,80.2083333333333,1.67226747517997,0.0247078040125175,93.8046875,100.013020833333,6.20833333333334
"44","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,16,26,36.15,"cha","tor",-10,2016-04-05,10,24.6875,75.3125,5.75197308543051,0.0893844351477704,89.99453125,103.00703125,13.0125
"45","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,16,24,36.6833333333,"cha","tor",-8,2016-04-05,8,23.5763888889583,76.4236111110417,4.56811504117997,0.0701593292834119,91.0861979165984,102.14314236104,11.0569444444417
"46","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,66,77,7.61666666667,"cha","tor",-11,2016-04-05,11,84.1319444444375,15.8680555555625,13.6995520042957,0.743600554328734,81.5903645833402,93.2250868055627,11.6347222222225
"47","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,22,32,33,"cha","tor",-10,2016-04-05,10,31.25,68.75,6.01929265428846,0.100628329397637,89.546875,102.296875,12.75
"48","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,19,26,35.3666666667,"cha","tor",-7,2016-04-05,7,26.319444444375,73.680555555625,4.07057779768094,0.0643761565314622,91.3911458334016,101.338368055627,9.94722222222499
"49","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,24,32,32.6333333333,"cha","tor",-8,2016-04-05,8,32.0138888889583,67.9861111110417,4.84231299226154,0.081680174794564,90.7963541665984,101.51579861104,10.7194444444417
"50","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,32,39,29.7833333333,"cha","tor",-7,2016-04-05,7,37.9513888889583,62.0486111110417,4.43433870094042,0.0804828596025015,92.9627604165984,102.44470486104,9.48194444444167
"51","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,59,75,12,"cha","tor",-16,2016-04-05,16,75,25,15.9205950433598,0.599356859447973,83.5625,100.5625,17
"52","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,49,64,17.4333333333,"cha","tor",-15,2016-04-05,15,63.680555555625,36.319444444375,12.4022957089932,0.345890381067872,84.6838541665984,101.136631944373,16.452777777775
"53","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,19,28,34.8,"cha","tor",-9,2016-04-05,9,27.5,72.5,5.27589343584494,0.0845252316664113,90.23125,102.13125,11.9
"54","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,3,4,47,"cha","tor",-1,2016-04-05,1,2.08333333333333,97.9166666666667,0.504647332689367,0.00635491989217669,99.203125,104.119791666667,4.91666666666666
"55","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,61,75,11.6166666667,"cha","tor",-14,2016-04-05,14,75.7986111110417,24.2013888889583,14.1561864325653,0.547026385373288,84.7778645834016,99.7459201389599,14.9680555555583
"56","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,49,67,16.2666666667,"cha","tor",-18,2016-04-05,18,66.1111111110417,33.8888888889583,15.4034434453828,0.454154762146389,82.2958333334016,101.65138888896,19.3555555555583
"57","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,24,32,32.4833333333,"cha","tor",-8,2016-04-05,8,32.3263888889583,67.6736111110417,4.85343936117234,0.0821707014972854,90.4893229165984,101.19626736104,10.7069444444417
"58","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,82,91,1.25,"cha","tor",-9,2016-04-05,9,97.3958333333333,2.60416666666666,26.6362356780175,6.32255571145847,84.55859375,93.6627604166667,9.10416666666667
"59","2016-04-05.cha.tor",90,96,-6,6,0,1,4,200.5,-4,98.25,102.25,32,39,29.25,"cha","tor",-7,2016-04-05,7,39.0625,60.9375,4.47441940470415,0.0823951678595752,91.87109375,101.30859375,9.4375
